,name,platform,score,total_reviews,main_story,main_extra,avg_playthrough,normalized_score,normalized_reviews,normalized_time,playability_score
508,In Other Waters,pc,74,17,4.83,6.83,5.83,0.7628865979381443,0.14049586776859505,0.006615189973959073,42.49
452,Planet Alpha,pc,72,21,5.05,5.89,5.47,0.7422680412371134,0.17355371900826447,0.00620670482976949,42.44
445,Candleman: The Complete Journey,pc,76,13,0.0,0.0,0.0,0.7835051546391752,0.10743801652892562,0.0,42.4
358,DAEMON X MACHINA,pc,72,21,0.0,0.0,0.0,0.7422680412371134,0.17355371900826447,0.0,42.32
523,SteamWorld Dig,pc,76,12,5.06,6.53,5.795,0.7835051546391752,0.09917355371900827,0.0065754761404961965,42.28
444,Puzzle Agent,pc,70,24,3.36,3.61,3.485,0.7216494845360825,0.19834710743801653,0.003954363131946375,42.11
235,Escape Goat 2,pc,76,11,4.07,6.28,5.175000000000001,0.7835051546391752,0.09090909090909091,0.00587197394772525,42.02
271,RAD,pc,71,20,8.34,26.0,17.17,0.7319587628865979,0.1652892561983471,0.019482472015930924,41.95
264,NightSky,pc,78,6,2.65,3.59,3.12,0.8041237113402062,0.049586776859504134,0.003540204582976382,41.76
379,Stubbs the Zombie in Rebel Without a Pulse,pc,72,17,6.28,8.87,7.574999999999999,0.7422680412371134,0.14049586776859505,0.008595208242322464,41.5
412,Stubbs the Zombie in Rebel Without a Pulse,pc,72,17,6.28,8.87,7.574999999999999,0.7422680412371134,0.14049586776859505,0.008595208242322464,41.5
459,Hero's Hour,pc,77,7,4.88,0.0,2.44,0.7938144329896907,0.05785123966942149,0.0027686215328405037,41.48
396,Horizon Chase Turbo,pc,76,8,10.19,15.85,13.02,0.7835051546391752,0.06611570247933884,0.0147735460481899,41.45
147,Sonic Generations,3ds,66,29,5.63,10.12,7.875,0.6804123711340206,0.2396694214876033,0.008935612529147118,41.39
345,Unrailed!,pc,77,6,1.75,8.67,5.21,0.7938144329896907,0.049586776859504134,0.005911687781188125,41.3
236,Everything,pc,78,4,2.95,5.51,4.23,0.8041237113402062,0.03305785123966942,0.004799700444227595,41.29
220,And Yet It Moves,pc,75,10,3.03,4.35,3.6899999999999995,0.7731958762886598,0.08264462809917356,0.00418697272794322,41.22
243,Hack 'n' Slash,pc,73,14,4.48,4.59,4.535,0.7525773195876289,0.11570247933884298,0.005145778135832658,41.2
